Time,Time Code,Country Name,Country Code,"GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]",Total natural resources rents (% of GDP) [NY.GDP.TOTL.RT.ZS],"Population, total [SP.POP.TOTL]",Urban population (% of total) [SP.URB.TOTL.IN.ZS],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Lifetime risk of maternal death (%) [SH.MMR.RISK.ZS],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]"
2010,YR2010,Ireland,IRL,44030.3786080134,..,0.132394839364518,4560155,61.84,80.7439024390244,0.0155001309815943,4.2
2010,YR2010,Isle of Man,IMN,..,..,0,80072,51.994,..,..,..
2010,YR2010,Israel,ISR,29743.0058727916,..,0.139876012840069,7623600,91.824,81.6024390243903,0.017914485426704,4.6
2010,YR2010,Italy,ITA,36201.1615672134,..,0.099121878005061,59277417,68.327,82.0365853658537,0.0055044434086203,4
2010,YR2010,Jamaica,JAM,7996.01948795873,..,1.17053847438014,2817210,53.743,74.8464878048781,0.214490262402002,18.1
2010,YR2010,Japan,JPN,35749.7712106096,..,0.0178600840402967,128070000,90.522,82.8426829268293,0.00780589688003526,3.2
2010,YR2010,Jordan,JOR,9472.76832624669,92.55104,1.6722944392729,7182390,82.473,73.4383902439024,0.225321410285137,21.1
2010,YR2010,Kazakhstan,KAZ,20096.9180664411,99.78163,21.0293700421972,16321581,53.732,68.2953658536585,0.0558173216540696,21.5
2010,YR2010,Kenya,KEN,2475.84353728418,..,3.10298088331619,41350152,23.571,62.8881463414634,2.93638985602935,62.2
2010,YR2010,Kiribati,KIR,1731.53862650466,..,0.063495205418365,102652,43.773,65.2775609756098,0.41324557792366,62.7
2010,YR2010,"Korea, Dem. People’s Rep.",PRK,..,..,..,24591599,60.21,69.3273170731707,0.178399786239203,29.5
2010,YR2010,"Korea, Rep.",KOR,30352.1048190303,..,0.0318395143480391,49554112,81.936,80.5512195121951,0.0181105474570493,4.1
2010,YR2010,Kosovo,XKX,7875.93115673265,..,4.10759284715746,1775680,..,69.9,..,..
2010,YR2010,Kuwait,KWT,75204.145116617,94.46901,48.4015054465816,2998083,98.263,74.1328536585366,0.0127389253674844,10.8
2010,YR2010,Kyrgyz Republic,KGZ,2790.17066394311,..,11.278479089317,5447900,35.303,69.3,0.269139036060874,29.6
2010,YR2010,Lao PDR,LAO,3983.5021426628,..,17.5689326184019,6246274,33.123,64.3032926829268,1.07056821484715,78.9
2010,YR2010,Latvia,LVA,18251.8238805559,..,1.22907527798356,2097555,67.692,73.4829268292683,0.0276923314808182,7.8
2010,YR2010,Lebanon,LBN,16451.7598336606,..,0.0015507153287506,4337141,87.183,78.5382682926829,0.0360757250441746,10.3
2010,YR2010,Lesotho,LSO,2365.68346109084,..,3.67549643906119,2040551,24.753,50.6612195121951,1.99754150088158,99.7
2010,YR2010,Liberia,LBR,699.653721510599,..,29.1473802049564,3948125,47.801,59.605512195122,4.20654642040136,89.3
2010,YR2010,Libya,LBY,29630.2221484622,..,54.9834017422433,6169140,77.642,71.7369756097561,0.0231057752199354,16.6
2010,YR2010,Liechtenstein,LIE,..,..,0.00924063538229507,36003,14.464,81.8414634146342,..,..
2010,YR2010,Lithuania,LTU,21069.2853787989,..,0.526711320034481,3097282,66.757,73.2682926829268,0.0129020924675852,6.1
2010,YR2010,Luxembourg,LUX,91743.2938905974,..,0.0704735209096316,506953,88.547,80.6317073170732,0.0179832995605045,2.8
2010,YR2010,"Macao SAR, China",MAC,98184.3763086752,..,0.000909141683636676,536969,100,82.5735609756098,..,..
2010,YR2010,"Macedonia, FYR",MKD,11355.2684675862,..,4.72525512210799,2070739,56.992,74.6040975609756,0.011947170367219,10.4
2010,YR2010,Madagascar,MDG,1385.68507168039,..,6.850760849933,21151640,31.929,63.3578048780488,2.16862145285469,62.2
2010,YR2010,Malawi,MWI,1032.9628806199,61.30972,5.76901543442764,15167095,15.54,57.156243902439,3.60644817119267,90.5
2010,YR2010,Malaysia,MYS,21107.2679372523,93.11789,8.44976515044475,28112289,70.912,74.2868536585366,0.099886826840775,7.9
2010,YR2010,Maldives,MDV,11924.0830709081,..,0.00998770122601358,367000,39.984,76.1569024390244,0.220232511605884,13.2
2010,YR2010,Mali,MLI,1871.98474385098,31.09975,12.2344720298932,15075085,35.996,55.229756097561,4.2222915339428,136.5
2010,YR2010,Malta,MLT,28329.7049010996,..,0,414508,94.665,81.3975609756098,0.0152937677920812,6.8
2010,YR2010,Marshall Islands,MHL,3479.15530340683,..,0,52425,71.343,..,..,39.2
